INTRO
This text adventure is an exact replica of the overworld from the
original Legend of Zelda game from the orignal Nintendo.
END_INTRO

STARTING_ROOM 65

NOUN 200
Shield
Small
A small shield Link starts with at the beginning of his adventure.
SIZE 4
WEIGHT 5
LOCATION 1000
WEARABLE
END_NOUN

ROOM 2
West Death Mountain Peak
EAST 10
SOUTH 3
END_ROOM

ROOM 3
West Death Mountain Peak
NORTH 2
EAST 11
END_ROOM

ROOM 4
Hyrule Graveyard
EAST 12
SOUTH 5
END_ROOM

ROOM 5
Hyrule Graveyard
NORTH 4
EAST 13
SOUTH 6
END_ROOM

ROOM 6
Hyrule Graveyard
NORTH 5
SOUTH 7
EAST 14
END_ROOM

ROOM 7
Hyrule Wasteland
NORTH 6
SOUTH 8
END_ROOM

ROOM 8
West Hyrule Woods
NORTH 7
EAST 16
END_ROOM

ROOM 9
Hyrule Wasteland
EAST 17
END_ROOM

ROOM 10
West Death Mountain Peak
WEST 2
EAST 18
SOUTH 11
END_ROOM

ROOM 11
West Death Mountain Peak
NORTH 10
WEST 3
END_ROOM

ROOM 12
Hyrule Graveyard
WEST 4
SOUTH 13
END_ROOM

ROOM 13
Hyrule Graveyard
NORTH 12
SOUTH 14
EAST 21
WEST 5
END_ROOM

ROOM 14
Hyrule Graveyard
NORTH 13
WEST 6
END_ROOM

ROOM 15
West Hyrule Woods
EAST 23
SOUTH 16
END_ROOM

ROOM 16
The Lost Woods
EAST 24
END_ROOM

ROOM 17
Hyrule Wasteland
NORTH 16
EAST 25
WEST 9
END_ROOM

ROOM 18
West Death Mountain Peak
WEST 10
EAST 26
SOUTH 19
END_ROOM

ROOM 19
West Death Mountain Peak
NORTH 18
EAST 26
END_ROOM

ROOM 20
Outside Level 6
SOUTH 21
END_ROOM

ROOM 21
West Death Mountain
NORTH 20
WEST 13
EAST 29
END_ROOM

ROOM 22
Empty Fairy Spring
SOUTH 23
END_ROOM

ROOM 23
West Hyrule Woods
NORTH 22
SOUTH 24
SOUTHEAST 32
WEST 15
EAST 31
END_ROOM

ROOM 24
West Hyrule Woods
NORTH 23
SOUTH 25
WEST 16
END_ROOM

ROOM 25
West Hyrule Woods
NORTH 24
EAST 33
WEST 17
END_ROOM

ROOM 26
West Death Mountain Peak
WEST 18
SOUTH 27
END_ROOM

ROOM 27
West Death Mountain Peak
NORTH 26
WEST 19
EAST 35
END_ROOM

ROOM 28
West Death Mountain
SOUTH 29
EAST 36
END_ROOM

ROOM 29
West Death Mountain
NORTH 28
WEST 21
END_ROOM

ROOM 30
Fairy Spring
SOUTH 31
END_ROOM

ROOM 31
West Hyrule Woods
NORTH 30
SOUTH 32
EAST 39
WEST 23
END_ROOM

ROOM 32
West Hyrule Woods
NORTH 31
SOUTH 33
EAST 40
WEST 24
END_ROOM

ROOM 33
West Hyrule Woods
NORTH 32
EAST 41
WEST 25
END_ROOM

ROOM 34
West Death Mountain Peak
EAST 42
END_ROOM

ROOM 35
West Death Mountain Peak
SOUTH 36
EAST 43
WEST 27
END_ROOM

ROOM 36
West Death Mountain
NORTH 35
EAST 44
WEST 28
END_ROOM

ROOM 37
West Lake Hylia
SOUTH 38
END_ROOM

ROOM 38
West Lake Hylia
NORTH 37
SOUTH 39
END_ROOM

ROOM 39
West Lake Hylia
NORTH 38
SOUTH 40
EAST 47
WEST 31
END_ROOM

ROOM 40
Outside Potion Shop
NORTH 39
EAST 48
WEST 32
END_ROOM

ROOM 41
Outside Level 3
WEST 33
END_ROOM

ROOM 42
Spectacle Rock
WEST 34
EAST 50
END_ROOM

ROOM 43
Death Mountain Peak
SOUTH 44
EAST 51
WEST 35
END_ROOM

ROOM 44
Death Mountain
NORTH 43
SOUTH 45
WEST 36
END_ROOM

ROOM 45
Death Mountain Base
NORTH 44
EAST 53
END_ROOM

ROOM 46
Outside Level 4
SOUTH 47
END_ROOM

ROOM 47
Lake Hylia Docks
SOUTH 48
EAST 55
WEST 39
END_ROOM

ROOM 48
